ACCT_NBR,ACCT_NM,ACCT_STATUS_FLG,ACCT_TYP_CD,SHT_ACCT_NM,"CREATION_DT""",ACCT_TWN_NM,CALC_INT_CD,IGN_UNC_CD,ACCT_CNTRY_NM,BLCKG_CD,CUST_GRP,ACCT_HOLDR_RES_CD,LST_UPDATE,ACCT_CLIENT_STATUS,ACCT_CL_UNC_FND,PL_ACCT _NBR,END_DT,UKGILTS_TYP_CD,STAR_TYP_CD,STAR_ELIGBL_TYP_CD,AUTH_ACCT_ST ATUS_FLG,GLOB_PROXY_FLG,CASH_TAKER,CATEGORY,INTERNAL_FLAG,INTERNAL_TYP E,LEND_BORROW,DAYTIME_FILTER,CREDIT_RATING,SYNDICATE,CPNY_FLAG,EUREX _FLAG,ACCT_PUBL_FLG,ACCT_EXMPT_FLG
96397,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/7/1994,BRUXELLE S,,,BELGIUM,6,,,2/7/2000,,,,03/02/2000 12:00 :00 AM,,,,,,,E,,EXTER,,,,S,L,N,,
96505,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/7/1994,BRUXELLE S,,,BELGIUM,6,,,9/15/1997,,,,11/25/1997 12:00 :00 AM,,,,,,,,,,,,,,L,N,,
96884,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/7/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,2/13/1995,,,,,""" ",,,,,,,,,L,N,,
96984,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/7/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,1/2/1997,,,,,""" ",,,,,,,,,L,N,,
97232,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/7/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,7/3/1997,,,,,""" ",,,,,,,,,L,N,,
45098,FIMAT INTERNATIONAL BANQUE S.A.,0,N,FIMA7328,12/08/1994 12:00:0 0 AM,FRANKFURT,1,,GERMANY,,,D,6/25/2001,N,N,""" ",,,,,,,,E,,EXTER,,,,S,L,N,,Y
80667,BANCO SANTANDER BRASIL INTL.LTD,0,P,BCOSANTA,12/08/1994 12:00:0 0 AM,NASSAU,1,,BAHAMAS,2,15120,,6/25/2001,N,N," """,,U,,,N,N,,E,,EXTER,,,H,S,L,N,N,Y
80675,B.I.L.-WORLDFOLIO MUTUAL FUNDS 13,1,P,BILWORLD,12/08/1994 12:00 :00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,14959,L,8/30/1999,N,N,,1/31/2000,U,,,N,N,,E,,EXTER,,"A"" ",B,,L,N,,
80683,SHENZHEN FOR.EXCH.TRADING CENTER,0,P,SHENZHEN,12/08/1994 12:00: 00 AM,SHENZHEN,1,,CHINA,2,15124,,6/25/2001,N,"N"" ",,,U,,,N,N,,E,,EXTER,,,I,S,L,N,N,Y
80688,COMMONWEALTH CUSTODIAL SERVICES LTD,0,P,COMCUSTS,12/08/1994 12: 00:00 AM,SYDNEY,1,,AUSTRALIA,0,15082,,6/25/2001,N,Y,,,U,,,N,N,,E,,EXTER,,,C,S,L,N,,Y
80696,INDUSTRIAL BANK OF JAPAN LTD SYNDIC,0,P,IBJLSYND,12/08/1994 12: 00:00 AM,LONDON,1,,UNITED KINGDOM,0,14958,,06/25/2001 12:00:00 A M,N,N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,,Y
96797,CHUO MITSUI TST / IBJ INV TR,0,E,CHUOMITS,08/02/2000 12:00:00 A M,TOKYO,,,JAPAN,6,,,6/25/2001,,,,,,,""" ",,,,E,,EXTER,,,,X,L,N,,Y
80700,UBS SA MAISON DE TITRES,1,P,UBSSAMAI,12/9/1994,P ARIS,1,,FRANCE,2,14986,F,9/24/1998,N,N,,05/17 /1999 12:00:00 AM,U,,,N,N,,,,,,,,,L,N,,
80721,DEXIA BIL-I.B.J. INTERN. PLC REPO,0,P,BILIBJRE,12/13/1994 12:00 :00 AM,LUXEMBOURG,4,,LUXEMBOURG,0,15481,L,6/25/2001,N,N,,,U,,,N,N,16942,R,Y,REPO,,,B,S,L,N,N,Y
96667,EUROCLEAR BANK,0,E,UNPUBLIS,12/13/1994,"BRUXELLES"" ",,,BELGIUM,6,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
80726,BANK MARKAZI JOMHOURI ISLAMI IRAN,0,P,BKMARKAZ,12/14/1994 12:00 :00 AM,TEHRAN,1,,IRAN,6,15431,,6/25/2001,N,N,,,U,E,,N,N,,E,,EXTER,,A,K,S,L,N,N,Y
96251,BOAVISTA BKING,1,E,BOAVISTA,12/14/1994,NASSAU,""" ",,BAHAMAS,6,,,6/11/1999,,,,"11/01/1999 12:00:00 A

M",,,,,,,E,,EXTER,,,,,L,N,,
41475,DRESDNER BANK AG W/SPEC.CLEAR.A/C31,0,A,DRES7596,09/15/1999 12: 00:00 AM,FRANKFURT,1,,GERMANY,6,,D,6/25/2001,N,N,,,,,,,N,,E,,EXTER,,A,,S,L,N,,Y
41564,SCHMIDT BANK KGAA,0,A,SCHMIDT,10/31/1994,NUERNBER G,1,,GERMANY,6,,D,6/25/2001,N,N,,,U,,," """,N,,E,,EXTER,,A,,S,L,N,,Y
41734,LANDWIRTSCHAFTLICHE RENTENBANK,0,A,LAWRENBK,10/31/1994,FRANKFURT,1,,GERMANY,6,,D,6/25/2001,N,N,""" ",,U,,,,N,,E,,EXTER,,A,,S,L,N,,Y
80705,STANDARD CHARTERED BANK,0,P,STANDCHA,12/15/1994,H ONG KONG,1,,HONG KONG,0,15103,,6/25/2001,N,N,," """,U,,,N,N,,E,,EXTER,,,B,S,L,N,,Y
80713,STANDARD CHARTERED BANK-SYNDIC.ACCT,0,P,STANDCHA,12/15/1994 12: 00:00 AM,HONG KONG,1,,HONG KONG,0,15475,,"06/25/2001 12:00:00 AM"" ",N,N,,,U,,,N,N,,E,,EXTER,,,B,S,L,N,N,Y
80730,COMMERCIAL BANK OF GREECE S.A.,0,P,COMBKGRE,12/15/1994,ATHENS,1,,GREECE,0,15102,,6/25/2001,N,N,""" ",,U,,,N,N,,E,,EXTER,,,D,S,L,N,,Y
80743,B.I.L.-SCHRODER SWITZ.JAPAN&FAR EA.,1,P,BILSHROD,12/15/1994 12: 00:00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,14977,L,6/17/1998,N,N,,5/17/1999,U,,,N,N,,,,,,,,,L,N,,
80748,B.I.L.-SHRODER SWITZ.GLOBAL BOND FD,1,P,BILSHROD,12/15/1994 12: 00:00 AM,LUXEMBOURG,1,N,LUXEMBOURG,2,14978,L,3/4/1996,N,N,,1/27/1997,U,,,N,N,,,,,,,," """,L,N,,
80751,BARCLAYS BK PLC SA T.HOARE & CO LTD,1,P,BARCHOAR,12/15/1994 12: 00:00 AM,AMSTERDAM,1,,NETHERLANDS,2,15096,G,1/19/1998,N,N,,5/17/1999,U,,,N,N,,,,,,,,,L,N,,
80756,B.I.L.-AEB INTL PORTFOLIOS PROT.D,1,P,BILAEBIN,12/15/1994 12:00 :00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,14979,L,6/17/1998,N,N,,5/17/1999,U,,,N,N,,,,,,,,,L,N,,
80764,BYBLOS BANK EUROPE SA CLIENT A/C,0,P,BYBLOSCL,12/15/1994 12:00: 00 AM,BRUXELLES,1,,BELGIUM,6,14976,B,6/25/2001,"Y"" ",Y,,,U,,,N,N,18163,E,,EXTER,,,G,S,L,N,,Y
96142,CL BELGIUM FIN(IRELAND),1,E,CLBELFIN,12/15/1994,D UBLIN,,,IRELAND,6,,,,,,,3/7/1997,,,,,,,,,,,,,,L,N,,
97374,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/15/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,4/9/1997,,,,,""" ",,,,,,,,,L,N,,
U0043,COMMERZBANK CAPITAL MARKETS CORP.,0,N,CCMCNY,12/15/1994 12:00:0 0 AM,NEW YORK,,,U.S.A.,,,,6/25/2001,,,,,""" ",,,,,,E,,EXTER,,,,S,L,N,,Y
80769,BANK ANHYP LUXEMBOURG SA-MAXICAV,0,P,BKANHYP,12/16/1994 12:00:0 0 AM,LUXEMBOURG,1,,LUXEMBOURG,0,15079,L,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,,H,S,L,N,N,Y
80772,DEXIA BIL/BARCLAYS BANK PLC-REPO,0,P,BILBARCL,12/16/1994 12:00: 00 AM,LUXEMBOURG,4,,LUXEMBOURG,0,15482,L,"06/25/2001 12:00:00 AM"" ",N,N,,,U,,,N,N,34797,R,Y,REPO,,,B,S,L,N,N,Y
80799,CREDIT COMMERC.FRANCE/MBF ACTIB.XEU,1,P,CCF/XEU,12/16/1994 12:0 0:00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,15077,L,04/22/1998 12:00:00 A M,N,N,,5/17/1999,U,,,N,N,,,,,,,,""" ",L,N,,
80802,CREDIT COMMERC.FRANCE-MBF ACTIB.DEM,1,P,CCF/DEM,12/16/1994 12:0 0:00 AM,LUXEMBOURG,1,,LUXEMBOURG,2,15078,L,"04/22/1998 12:00:00 A

M",N,N,,5/17/1999,U,,,N,N,,,,,,,,""" ",L,N,,
96827,ISRAEL DISCOUNT BK/LATIN AM,0,E,ISRDISC,"12/16/1994 12:00:00 AM"" ",NEW YORK,,,U.S.A.,6,,,6/25/2001,,,,,,," """,,,,E,,EXTER,,,,S,L,N,,Y
28118,BANKERS TR.CO CLIENT AC-VERMILLION,1,P,BANKERST,12/19/1994 12:0 0:00 AM,LONDON,1,,UNITED KINGDOM,2,E000002675,,09/15/1997 12:00: 00 AM,N,N,,1/26/1998,U,,,N,N,,,,,,,,,L,N,,
80807,CITIBANK INT.-TERRA NOVA(BERMUDA),0,P,CITIBKTN,12/19/1994 12:00 :00 AM,LUXEMBOURG,1,,LUXEMBOURG,6,15076,L,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,6,,A,S,L,N,N,Y
97266,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/19/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,1/2/1997,,,,,""" ",,,,,,,,,L,N,,
97352,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/19/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,1/15/1997,,,,,""" ",,,,,,,,,L,N,,
97372,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/19/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,2/25/1997,,,,,""" ",,,,,,,,,L,N,,
97428,MORGAN EUROCLEAR,1,E,UNPUBLIS,12/19/1994,BRUXELLE S,,,BELGIUM,6,,,,,,,3/14/1996,,,,,""" ",,,,,,,,,L,N,,
80662,PEREGRINE FIXED INCOME LIMITED,1,P,PEREGRIN,12/20/1994,HONG KONG,1,,HONG KONG,2,15095,,11/7/2000,N,N,,1/26/2001,U,,,N,N,,E,,EXTER,,,K,S,L,N,,
80824,NEW JAPAN SECURITIES INT(HK) LTD,0,P,NEWJAPAN,12/20/1994 12:00: 00 AM,HONG KONG,1,,HONG KONG,2,15094,,6/25/2001,N,N,,,U,,,N,Y,,E,,EXTER,,,D,S,L,N,N,Y
80829,KBW WESSELIUS GLOBAL CUSTODY-CLIENT,0,P,KBWGLCUC,03/02/1995 12: 00:00 AM,AMSTERDAM,1,,NETHERLANDS,0,15594,,06/25/2001 12:00:00 A M,Y,N,,,U,,,N,N,,E,,EXTER,,,K,S,L,N,N,Y
4332,BOSTON OVERSEAS FINANCIAL CORPORAT.,0,G,TOF&UCF,12/21/1994 12:0 0:00 AM,BOSTON MA,,,U.S.A.,,,,6/25/2001,,,,,,,,,,,E,,EXTER,,,,S,L,N,,Y
80832,MERRILL LYNCH EQUITIES (AUSTRALIA),0,P,MLAUSTLT,12/21/1994 12:0 0:00 AM,MELBOURNE,1,,AUSTRALIA,5,15131,,6/25/2001,N,N,,,U,,,N,N,,E,,EXTER,,,D,S,L,N,N,Y
U2158,MERCANTILE BANK NATIONAL ASSOCIAT.,0,N,MERCANTI,12/21/1994 12:0 0:00 AM,NEW YORK,,,U.S.A.,,,,6/25/2001,,,,""" ",,,,,,,E,,EXTER,,,,S,L,N,,Y
96395,MORGAN JP FUNDING,0,E,MORGAN,12/21/1994,LONDON,,,UNITED KINGDOM,6,,,6/25/2001,,,,,,,,""" ",,,E,,EXTER,,,,S,L,N,,Y
80837,SOC.GENERALE BK&TR-CLOVIS FIN.SER.B,0,P,SOCLOVIS,12/22/1994 12: 00:00 AM,LUXEMBOURG,1,,LUXEMBOURG,5,15483,L,6/25/2001,N,N,,,U,,,N,N,11649,E,,EXTER,,,A,S,L,"N"" ",N,Y
